Indv_ID,Median Number of Roots,Maximum Number of Roots,Number of Root Tips,Total Root Length,Depth,Maximum Width,Width-to-Depth Ratio,Network Area,Convex Area,Solidity,Lower Root Area,Average Diameter,Median Diameter,Maximum Diameter,Perimeter,Volume,Surface Area,Holes,Average Hole Size,Computation Time,Average Root Orientation,Shallow Angle Frequency,Medium Angle Frequency,Steep Angle Frequency,Fine Diameter Frequency,Medium Diameter Frequency,Coarse Diameter Frequency
160_271_330,1.666666667,7,71,5865.936667,1513,555.6666667,0.367051667,149794,515508,0.330213333,93872.66667,45.4482,23.2076,161.643,8310.923333,16033333.33,741290.6667,11.33333333,645.3666667,0.150333333,57.58546667,0.203584333,0.247048333,0.549367667,0.065215367,0.160076333,0.774708333
160_271_210,1,7,49.5,4581.295,1505.5,576.5,0.3836575,123914,497282.5,0.249138,46940,41.0027,25.9322,132.91,6966.83,10850000,566916,6,3013.085,0.144,51.73325,0.275986,0.249012,0.4750015,0.0601193,0.257793,0.682087
160_271_217,1.333333333,10.66666667,157,9801.083333,1700.666667,724,0.409472333,176116,786965.6667,0.275504667,105762.6667,36.02483333,26.98986667,165.8296667,13681.16333,15233333.33,858679.3333,41.33333333,NA,0.197666667,55.23553333,0.228557667,0.222507667,0.548934667,0.104341133,0.266150333,0.629509
160_271_331,1.5,5,39.5,3622.5,1274,484,0.375041,118901,437933.5,0.3333385,73263.5,51.52735,32.08615,162.2545,5224.47,13000000,564924,3,893.625,0.1215,55.49105,0.2374565,0.225515,0.5370285,0.0444466,0.1345435,0.8210095
160_271_346,1.666666667,8,104.3333333,6651.67,1513.666667,540.3333333,0.3435,130122.6667,545259,0.356710333,77538.33333,45.10733333,34.3138,148.4246667,9053.546667,11583333.33,646228.3333,23,NA,0.152333333,57.4014,0.219297,0.201117,0.579586333,0.079943033,0.224303333,0.695753333
160_271_146,1,4.5,39.5,3439.06,1039.5,370,0.355032,107388,252391.5,0.494113,63115.5,61.57815,48.32515,172.4545,3996.82,15900000,632004,6,973.6685,0.108,49.26835,0.3167205,0.222437,0.4608425,0.046608,0.143371,0.8100205
160_271_329,1,4.5,45,3475.045,1395.5,326.5,0.23391,119456.5,301230.5,0.423351,83733,54.18725,51.20715,166.703,4834.08,12850000,582678.5,1,NA,0.1125,54.3407,0.258041,0.214764,0.5271955,0.06269405,0.181739,0.755567
160_271_403,1.333333333,4,34.66666667,2919.883333,1100,545.6666667,0.483127667,97758.66667,476801,0.3376864,78676,53.9186,55.94193333,145.9226667,4293.79,9293333.333,451826,1.333333333,NA,0.125,56.35293333,0.241971667,0.206531667,0.551497333,0.040255267,0.093027867,0.866716667
160_271_352,1,4.333333333,34.66666667,3121.856667,1332,346.6666667,0.266009,108805.6667,288432.3333,0.389343333,52842,54.83316667,58.18586667,152.4863333,4124.656667,11433333.33,539266,1.666666667,NA,0.121,54.9489,0.253122667,0.187773667,0.559104,0.073608133,0.171161,0.755231
160_271_215,1,5,32,2998.25,1101,357,0.324251,137512,295144,0.465915,54449,72.9327,89.822,171.266,3635.01,17400000,697035,1,74,0.122,49.6279,0.309098,0.208054,0.482849,0.0279642,0.105145,0.86689
